resultId,raceId,driverId,constructorId,grid,points,laps,milliseconds,fastestLap,race_rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name
1,18,1,1,1,10.0,58,5690616,39,2,87452,218.3,1,2008,1,1,Australian Grand Prix
2,18,2,2,5,8.0,58,5696094,41,3,87739,217.586,1,2008,1,1,Australian Grand Prix
3,18,3,3,7,6.0,58,5698779,41,5,88090,216.719,1,2008,1,1,Australian Grand Prix
4,18,4,4,11,5.0,58,5707797,58,7,88603,215.464,1,2008,1,1,Australian Grand Prix
5,18,5,1,3,4.0,58,5708630,43,1,87418,218.385,1,2008,1,1,Australian Grand Prix
6,18,6,3,13,3.0,57,0,50,14,89639,212.974,11,2008,1,1,Australian Grand Prix
7,18,7,5,17,2.0,55,0,22,12,89533,213.224,5,2008,1,1,Australian Grand Prix
8,18,8,6,15,1.0,53,0,20,4,87902,217.18,5,2008,1,1,Australian Grand Prix
9,18,9,2,2,0.0,47,0,15,9,88753,215.1,4,2008,1,1,Australian Grand Prix
10,18,10,7,18,0.0,43,0,23,13,89558,213.166,3,2008,1,1,Australian Grand Prix
11,18,11,8,19,0.0,32,0,24,15,90892,210.038,7,2008,1,1,Australian Grand Prix
12,18,12,4,20,0.0,30,0,20,16,91384,208.907,8,2008,1,1,Australian Grand Prix
13,18,13,6,4,0.0,29,0,23,6,88175,216.51,5,2008,1,1,Australian Grand Prix
14,18,14,9,8,0.0,25,0,21,11,89502,213.3,4,2008,1,1,Australian Grand Prix
15,18,15,7,6,0.0,19,0,18,10,89310,213.758,10,2008,1,1,Australian Grand Prix
16,18,16,10,22,0.0,8,0,8,17,92021,207.461,9,2008,1,1,Australian Grand Prix
17,18,17,9,14,0.0,0,0,0,0,5400000,0.0,4,2008,1,1,Australian Grand Prix
18,18,18,11,12,0.0,0,0,0,0,5400000,0.0,4,2008,1,1,Australian Grand Prix
19,18,19,8,21,0.0,0,0,0,0,5400000,0.0,4,2008,1,1,Australian Grand Prix
20,18,20,5,9,0.0,0,0,0,0,5400000,0.0,4,2008,1,1,Australian Grand Prix
21,18,21,10,16,0.0,0,0,0,0,5400000,0.0,4,2008,1,1,Australian Grand Prix
22,18,22,11,10,0.0,58,0,44,8,88736,215.141,2,2008,1,1,Australian Grand Prix
23,19,8,6,2,10.0,56,5478555,37,2,95405,209.158,1,2008,2,2,Malaysian Grand Prix
24,19,9,2,4,8.0,56,5498125,39,6,95920,208.033,1,2008,2,2,Malaysian Grand Prix
25,19,5,1,8,6.0,56,5517005,19,7,95922,208.031,1,2008,2,2,Malaysian Grand Prix
26,19,15,7,3,5.0,56,5524387,53,8,96068,207.715,1,2008,2,2,Malaysian Grand Prix
27,19,1,1,9,4.0,56,5525103,53,3,95462,209.033,1,2008,2,2,Malaysian Grand Prix
28,19,2,2,5,3.0,56,5528388,55,1,95366,209.244,1,2008,2,2,Malaysian Grand Prix
29,19,17,9,6,2.0,56,5546685,53,12,96696,206.366,1,2008,2,2,Malaysian Grand Prix
30,19,4,4,7,1.0,56,5548596,40,10,96288,207.24,1,2008,2,2,Malaysian Grand Prix
31,19,14,9,12,0.0,56,5554775,55,9,96206,207.417,1,2008,2,2,Malaysian Grand Prix
32,19,18,11,11,0.0,56,5564769,56,4,95715,208.481,1,2008,2,2,Malaysian Grand Prix
33,19,12,4,13,0.0,56,5570757,52,15,96956,205.812,1,2008,2,2,Malaysian Grand Prix
34,19,21,10,17,0.0,55,0,52,16,96962,205.8,11,2008,2,2,Malaysian Grand Prix
35,19,22,11,14,0.0,55,0,55,11,96693,206.372,11,2008,2,2,Malaysian Grand Prix
36,19,3,3,16,0.0,55,0,55,13,96782,206.182,11,2008,2,2,Malaysian Grand Prix
37,19,19,8,21,0.0,55,0,55,18,98170,203.265,11,2008,2,2,Malaysian Grand Prix
38,19,11,8,19,0.0,54,0,53,19,98503,202.578,12,2008,2,2,Malaysian Grand Prix
39,19,6,3,22,0.0,54,0,19,17,97711,204.222,12,2008,2,2,Malaysian Grand Prix
40,19,20,5,15,0.0,39,0,37,14,96870,205.995,5,2008,2,2,Malaysian Grand Prix
41,19,13,6,1,0.0,30,0,15,5,95914,208.048,20,2008,2,2,Malaysian Grand Prix
42,19,16,10,20,0.0,5,0,3,20,100330,198.891,9,2008,2,2,Malaysian Grand Prix
43,19,10,7,10,0.0,1,0,0,0,5400000,0.0,4,2008,2,2,Malaysian Grand Prix
44,19,7,5,18,0.0,0,0,0,0,5400000,0.0,20,2008,2,2,Malaysian Grand Prix
45,20,13,6,2,10.0,57,5466970,38,3,93600,208.153,1,2008,3,3,Bahrain Grand Prix
46,20,8,6,4,8.0,57,5470309,35,4,93709,207.911,1,2008,3,3,Bahrain Grand Prix
47,20,9,2,1,6.0,57,5471968,55,5,93775,207.765,1,2008,3,3,Bahrain Grand Prix
48,20,2,2,6,5.0,57,5475379,48,2,93565,208.231,1,2008,3,3,Bahrain Grand Prix
49,20,5,1,5,4.0,57,5493759,49,1,93193,209.062,1,2008,3,3,Bahrain Grand Prix
50,20,15,7,7,3.0,57,5508284,45,7,94204,206.819,1,2008,3,3,Bahrain Grand Prix
51,20,17,9,11,2.0,57,5512443,51,8,94305,206.597,1,2008,3,3,Bahrain Grand Prix
52,20,3,3,8,1.0,57,5522859,57,6,94072,207.109,1,2008,3,3,Bahrain Grand Prix
53,20,10,7,13,0.0,57,5536470,56,9,94807,205.503,1,2008,3,3,Bahrain Grand Prix
54,20,4,4,10,0.0,57,5544151,35,13,95194,204.668,1,2008,3,3,Bahrain Grand Prix
55,20,22,11,12,0.0,57,5544832,40,10,94854,205.399,1,2008,3,3,Bahrain Grand Prix
56,20,21,10,18,0.0,56,0,56,11,95057,204.963,11,2008,3,3,Bahrain Grand Prix
57,20,1,1,3,0.0,56,0,25,19,95520,203.969,11,2008,3,3,Bahrain Grand Prix
58,20,6,3,16,0.0,56,0,30,17,95433,204.155,11,2008,3,3,Bahrain Grand Prix
59,20,7,5,15,0.0,56,0,33,15,95333,204.369,11,2008,3,3,Bahrain Grand Prix
60,20,19,8,21,0.0,56,0,45,14,95324,204.389,11,2008,3,3,Bahrain Grand Prix
61,20,11,8,22,0.0,56,0,56,20,95890,203.18,11,2008,3,3,Bahrain Grand Prix
62,20,14,9,17,0.0,56,0,43,16,95351,204.331,11,2008,3,3,Bahrain Grand Prix
63,20,16,10,20,0.0,56,0,55,18,95442,204.136,12,2008,3,3,Bahrain Grand Prix
64,20,12,4,14,0.0,40,0,31,12,95128,204.808,6,2008,3,3,Bahrain Grand Prix
65,20,18,11,9,0.0,19,0,11,21,96125,202.686,4,2008,3,3,Bahrain Grand Prix
66,20,20,5,19,0.0,0,0,0,0,5400000,0.0,5,2008,3,3,Bahrain Grand Prix
67,21,8,6,1,10.0,66,5899051,46,1,81670,205.191,1,2008,4,4,Spanish Grand Prix
68,21,13,6,3,8.0,66,5902279,45,2,81801,204.863,1,2008,4,4,Spanish Grand Prix
69,21,1,1,5,6.0,66,5903238,20,3,82017,204.323,1,2008,4,4,Spanish Grand Prix
70,21,9,2,4,5.0,66,5904745,20,4,82106,204.102,1,2008,4,4,Spanish Grand Prix
71,21,17,9,7,4.0,66,5934989,19,8,82564,202.969,1,2008,4,4,Spanish Grand Prix
72,21,18,11,13,3.0,66,5952061,66,5,82353,203.489,1,2008,4,4,Spanish Grand Prix
73,21,6,3,12,2.0,66,5957295,48,15,83549,200.576,1,2008,4,4,Spanish Grand Prix
74,21,15,7,8,1.0,66,5958486,45,10,82758,202.494,1,2008,4,4,Spanish Grand Prix
75,21,2,2,9,0.0,66,5962124,21,7,82519,203.08,1,2008,4,4,Spanish Grand Prix
76,21,21,10,19,0.0,65,0,40,14,83439,200.841,11,2008,4,4,Spanish Grand Prix
77,21,10,7,14,0.0,65,0,57,12,83007,201.886,11,2008,4,4,Spanish Grand Prix
78,21,14,9,17,0.0,65,0,57,11,82842,202.288,11,2008,4,4,Spanish Grand Prix
79,21,11,8,22,0.0,65,0,34,17,84617,198.045,11,2008,4,4,Spanish Grand Prix
80,21,3,3,15,0.0,41,0,20,13,83319,201.13,5,2008,4,4,Spanish Grand Prix
81,21,4,4,2,0.0,34,0,15,9,82683,202.677,5,2008,4,4,Spanish Grand Prix
82,21,22,11,11,0.0,34,0,21,16,83858,199.837,4,2008,4,4,Spanish Grand Prix
83,21,5,1,6,0.0,21,0,19,6,82453,203.243,3,2008,4,4,Spanish Grand Prix
84,21,19,8,21,0.0,8,0,6,20,86864,192.922,21,2008,4,4,Spanish Grand Prix
85,21,7,5,16,0.0,7,0,6,19,85999,194.862,4,2008,4,4,Spanish Grand Prix
86,21,12,4,10,0.0,6,0,6,18,85444,196.128,4,2008,4,4,Spanish Grand Prix
87,21,16,10,20,0.0,0,0,0,0,5400000,0.0,4,2008,4,4,Spanish Grand Prix
88,21,20,5,18,0.0,0,0,0,0,5400000,0.0,4,2008,4,4,Spanish Grand Prix
89,22,13,6,1,10.0,58,5209451,16,3,86666,221.734,1,2008,5,5,Turkish Grand Prix
90,22,1,1,3,8.0,58,5213230,31,2,86529,222.085,1,2008,5,5,Turkish Grand Prix
91,22,8,6,4,6.0,58,5213722,20,1,86506,222.144,1,2008,5,5,Turkish Grand Prix
92,22,9,2,5,5.0,58,5231396,17,4,86780,221.442,1,2008,5,5,Turkish Grand Prix
