resultId,raceId,driverId,constructorId,grid,race_rank,statusId,year,round,circuitId,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10,driver_is_active,driver_avg_point,driver_avg_speed,race_end_bf_2019,race_end_in_2019,race_end_in_2020,race_end_in_2021,race_end_in_2022,race_end_in_2023,driver_most_won_circuit_id,driver_nber_of_races_won,driver_nber_of_times_in_top_10,age
1,18,1,1,1,2,1,2008,1,1,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
2,18,2,2,5,3,1,2008,1,1,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
3,18,3,3,7,5,1,2008,1,1,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
4,18,4,4,11,7,1,2008,1,1,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
5,18,5,1,3,1,1,2008,1,1,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
6,18,6,3,13,14,11,2008,1,1,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
7,18,7,5,17,12,5,2008,1,1,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
8,18,8,6,15,4,5,2008,1,1,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
9,18,9,2,2,9,4,2008,1,1,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
10,18,10,7,18,13,3,2008,1,1,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
11,18,11,8,19,15,7,2008,1,1,0,0,0.0,1,0,0.0,203.46025,0,0,0,0,0,0,0,0,0,31
12,18,12,4,20,16,8,2008,1,1,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
13,18,13,6,4,6,5,2008,1,1,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
14,18,14,9,8,11,4,2008,1,1,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
15,18,15,7,6,10,10,2008,1,1,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
16,18,16,10,22,17,9,2008,1,1,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
17,18,17,9,14,0,4,2008,1,1,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
18,18,18,11,12,0,4,2008,1,1,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
19,18,19,8,21,0,4,2008,1,1,0,0,0.0,1,0,0.0,200.192,0,0,0,0,0,0,0,0,1,29
20,18,20,5,9,0,4,2008,1,1,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
21,18,21,10,16,0,4,2008,1,1,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
