gp_title,year,clean_weather,round
Belgian Grand Prix,2023,dry,12
Hungarian F1 Grand Prix,2023,dry,11
British F1 Grand Prix,2023,"wet,dry",10
Austrian F1 Grand Prix,2023,dry,9
Canadian F1 Grand Prix,2023,wet,8
Spanish Grand Prix,2023,wet,7
Monaco F1 Grand Prix,2023,dry,6
Miami Formula 1 Grand Prix,2023,"partly cloudy,dry",5
Azerbaijan F1 Grand Prix,2023,dry,4
Australian Grand Prix,2023,dry,3
Saudi Arabia F1 Grand Prix,2023,dry,2
Bahrain Grand Prix,2023,dry,1
Abu Dhabi Grand Prix,2022,dry,22
Brazilian Sao Paulo Grand Prix,2022,dry,21
Mexico Grand Prix,2022,dry,20
USA Grand Prix,2022,dry,19
Japanese Grand Prix,2022,dry,18
Singapore Grand Prix,2022,dry,17
Italian Grand Prix,2022,dry,16
Dutch Grand Prix,2022,dry,15
Belgian Grand Prix,2022,dry,14
Hungarian F1 Grand Prix,2022,dry,13
French F1 Grand Prix,2022,dry,12
Austrian F1 GP,2022,dry,11
British F1 Grand Prix,2022,wet,10
Canadian F1 Grand Prix,2022,wet,9
Azerbaijan F1 Grand Prix,2022,dry,8
Monaco F1 Grand Prix,2022,dry,7
Spanish F1 Grand Prix,2022,dry,6
Miami Formula 1 Grand Prix,2022,"dry,wet",5
Emilia Romagna F1 GP,2022,"dry,wet",4
Australian F1 Grand Prix,2022,dry,3
Saudi Arabia F1 Grand Prix,2022,dry,2
Bahrain Grand Prix,2022,dry,1
Abu Dhabi Grand Prix,2021,dry,22
Saudi Arabia F1 Grand Prix,2021,dry,21
Qatar F1 Grand Prix,2021,dry,20
Brazilian Grand Prix,2021,dry,19
Mexico F1 Grand Prix,2021,dry,18
USA F1 Grand Prix,2021,dry,17
Turkish F1 Grand Prix,2021,"dry,rain,dry",16
Russian Grand Prix,2021,dry,15
Italian Grand Prix,2021,dry,14
Dutch Grand Prix,2021,dry,13
Belgian Grand Prix,2021,wet,12
Hungarian Grand Prix,2021,dry,11
British Grand Prix,2021,dry,10
Austrian F1 Grand Prix,2021,dry,9
Styrian F1 Grand Prix,2021,dry,8
French F1 Grand Prix,2021,dry,7
Azerbaijan F1 Grand Prix,2021,dry,6
Monaco F1 Grand Prix,2021,dry,5
Spanish F1,2021,dry,4
Portuguese Grand Prix,2021,dry,3
Emilia Romagna Grand Prix,2021,dry,2
Bahrain Grand Prix,2021,dry,1
Abu Dhabi F1 GP,2020,dry,17
Sakhir F1 GP,2020,dry,16
Bahrain F1 GP,2020,dry,15
Turkish F1 GP,2020,"wet,dry,wet",14
Emilia Romagna GP,2020,dry,13
Portuguese Grand Prix,2020,dry,12
Eifel Grand Prix,2020,dry,11
Russian Grand Prix,2020,dry,10
Tuscan Grand Prix,2020,dry,9
Italian Grand Prix,2020,dry,8
Belgian Grand Prix,2020,dry,7
Spanish Grand Prix,2020,dry,6
70th Anniversary Grand Prix,2020,dry,5
British Grand Prix,2020,dry,4
Hungarian Grand Prix,2020,dry,3
Austrian Grand Prix,2020,wet,2
Austrian Grand Prix,2020,dry,1
Abu Dhabi F1 Grand Prix,2019,dry,21
Brazilian F1 Grand Prix,2019,dry,20
USA F1 Grand Prix,2019,dry,19
Mexico Grand Prix,2019,dry,18
Japanese Grand Prix,2019,dry,17
Russian Grand Prix,2019,dry,16
Singapore Grand Prix,2019,dry,15
Italian Grand Prix,2019,dry,14
Belgian Grand Prix,2019,dry,13
Hungarian Grand Prix,2019,dry,12
German Grand Prix,2019,dry,11
British Grand Prix,2019,dry,10
Austrian Grand Prix,2019,"sunny,dry",9
French Grand Prix,2019,"sunny,dry",8
Canadian Grand Prix,2019,"sunny,dry",7
Monaco Grand Prix,2019,"cloudy,dry",6
Spanish Grand Prix,2019,"sunny,dry",5
Azerbaijan Grand Prix,2019,"sunny,dry",4
Chinese Grand Prix,2019,"sunny,dry",3
Bahrain Grand Prix,2019,"sunny,dry",2
Australian Grand Prix,2019,"sunny,dry",1
Abu Dhabi Grand Prix,2018,"sunny,dry",21
Brazilian Grand Prix,2018,"partly cloudy",20
Mexican Grand Prix,2018,"cloudy,dry",19
US F1 Grand Prix,2018,cloudy,18
Japanese F1 Grand Prix,2018,cloudy,17
Russian F1 Grand Prix,2018,sunny,16
Singapore Grand Prix,2018,dry,15
Italian Grand Prix,2018,overcast,14
Belgian Grand Prix,2018,"cloudy,dry,wet",13
Hungarian Grand Prix,2018,rain,12
German Grand Prix,2018,overcast,11
British Grand Prix,2018,sunny,10
Austrian Grand Prix,2018,sunny,9
French Grand Prix,2018,partly cloudy,8
Canadian Grand Prix,2018,"sunny,clear sky",7
Monaco Grand Prix,2018,"sunny,clear sky",6
Spanish Grand Prix,2018,overcast,5
Azerbaijan Grand Prix,2018,overcast,4
Chinese Grand Prix,2018,"dry,overcast",3
Bahrain Grand Prix,2018,"overcast",2
Australian Grand Prix,2018,"dry,sunny",1
Abu Dhabi Grand Prix,2017,"dry,sunny",20
Brazilian Grand Prix,2017,sunny,19
Mexico Grand Prix  ,2017,"dry,sunny",18
USA Grand Prix,2017,dry,17
Japanese Grand Prix,2017,dry,16
Malaysian Grand Prix,2017,dry,15
Singapore Grand Prix,2017,dry,14
Italian Grand Prix,2017,"wet,cloudy",13
Belgian Grand Prix,2017,"dry,sunny",12
Hungarian Grand Prix,2017,"dry,sunny",11
British Grand Prix,2017,"rainy,overcast",10
Austrian Grand Prix,2017,"sunny,clear sky",9
Azerbaijan Grand Prix,2017,"sunny,clear sky",8
Canadian Grand Prix,2017,"sunny,clear sky",7
Monaco Grand Prix,2017,"sunny,clear sky",6
