gp_title,year,clean_weather,round,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
Belgian Grand Prix,2023,dry,12,0,0,1,0,0
Hungarian F1 Grand Prix,2023,dry,11,0,0,1,0,0
British F1 Grand Prix,2023,"wet,dry",10,0,0,1,1,0
Austrian F1 Grand Prix,2023,dry,9,0,0,1,0,0
Canadian F1 Grand Prix,2023,wet,8,0,0,0,1,0
Spanish Grand Prix,2023,wet,7,0,0,0,1,0
Monaco F1 Grand Prix,2023,dry,6,0,0,1,0,0
Miami Formula 1 Grand Prix,2023,"partly cloudy,dry",5,0,0,1,0,1
Azerbaijan F1 Grand Prix,2023,dry,4,0,0,1,0,0
Australian Grand Prix,2023,dry,3,0,0,1,0,0
Saudi Arabia F1 Grand Prix,2023,dry,2,0,0,1,0,0
Bahrain Grand Prix,2023,dry,1,0,0,1,0,0
Abu Dhabi Grand Prix,2022,dry,22,0,0,1,0,0
Brazilian Sao Paulo Grand Prix,2022,dry,21,0,0,1,0,0
Mexico Grand Prix,2022,dry,20,0,0,1,0,0
USA Grand Prix,2022,dry,19,0,0,1,0,0
Japanese Grand Prix,2022,dry,18,0,0,1,0,0
Singapore Grand Prix,2022,dry,17,0,0,1,0,0
Italian Grand Prix,2022,dry,16,0,0,1,0,0
Dutch Grand Prix,2022,dry,15,0,0,1,0,0
Belgian Grand Prix,2022,dry,14,0,0,1,0,0
Hungarian F1 Grand Prix,2022,dry,13,0,0,1,0,0
French F1 Grand Prix,2022,dry,12,0,0,1,0,0
Austrian F1 GP,2022,dry,11,0,0,1,0,0
British F1 Grand Prix,2022,wet,10,0,0,0,1,0
Canadian F1 Grand Prix,2022,wet,9,0,0,0,1,0
Azerbaijan F1 Grand Prix,2022,dry,8,0,0,1,0,0
Monaco F1 Grand Prix,2022,dry,7,0,0,1,0,0
Spanish F1 Grand Prix,2022,dry,6,0,0,1,0,0
Miami Formula 1 Grand Prix,2022,"dry,wet",5,0,0,1,1,0
Emilia Romagna F1 GP,2022,"dry,wet",4,0,0,1,1,0
Australian F1 Grand Prix,2022,dry,3,0,0,1,0,0
Saudi Arabia F1 Grand Prix,2022,dry,2,0,0,1,0,0
Bahrain Grand Prix,2022,dry,1,0,0,1,0,0
Abu Dhabi Grand Prix,2021,dry,22,0,0,1,0,0
Saudi Arabia F1 Grand Prix,2021,dry,21,0,0,1,0,0
Qatar F1 Grand Prix,2021,dry,20,0,0,1,0,0
Brazilian Grand Prix,2021,dry,19,0,0,1,0,0
Mexico F1 Grand Prix,2021,dry,18,0,0,1,0,0
USA F1 Grand Prix,2021,dry,17,0,0,1,0,0
Turkish F1 Grand Prix,2021,"dry,rain,dry",16,0,0,1,1,0
Russian Grand Prix,2021,dry,15,0,0,1,0,0
Italian Grand Prix,2021,dry,14,0,0,1,0,0
Dutch Grand Prix,2021,dry,13,0,0,1,0,0
Belgian Grand Prix,2021,wet,12,0,0,0,1,0
Hungarian Grand Prix,2021,dry,11,0,0,1,0,0
British Grand Prix,2021,dry,10,0,0,1,0,0
Austrian F1 Grand Prix,2021,dry,9,0,0,1,0,0
Styrian F1 Grand Prix,2021,dry,8,0,0,1,0,0
French F1 Grand Prix,2021,dry,7,0,0,1,0,0
Azerbaijan F1 Grand Prix,2021,dry,6,0,0,1,0,0
Monaco F1 Grand Prix,2021,dry,5,0,0,1,0,0
Spanish F1,2021,dry,4,0,0,1,0,0
Portuguese Grand Prix,2021,dry,3,0,0,1,0,0
Emilia Romagna Grand Prix,2021,dry,2,0,0,1,0,0
Bahrain Grand Prix,2021,dry,1,0,0,1,0,0
Abu Dhabi F1 GP,2020,dry,17,0,0,1,0,0
Sakhir F1 GP,2020,dry,16,0,0,1,0,0
Bahrain F1 GP,2020,dry,15,0,0,1,0,0
Turkish F1 GP,2020,"wet,dry,wet",14,0,0,1,1,0
Emilia Romagna GP,2020,dry,13,0,0,1,0,0
Portuguese Grand Prix,2020,dry,12,0,0,1,0,0
Eifel Grand Prix,2020,dry,11,0,0,1,0,0
Russian Grand Prix,2020,dry,10,0,0,1,0,0
Tuscan Grand Prix,2020,dry,9,0,0,1,0,0
Italian Grand Prix,2020,dry,8,0,0,1,0,0
Belgian Grand Prix,2020,dry,7,0,0,1,0,0
Spanish Grand Prix,2020,dry,6,0,0,1,0,0
70th Anniversary Grand Prix,2020,dry,5,0,0,1,0,0
